"type","age","N"
"841","RESPIR",13,18
"842","RESPIR",15,38
"843","RESPIR",20,64
"844","RESPIR",6,11
"845","RESPIR",14,18
"846","RESPIR",12,18
"847","RESPIR",23,105
"848","RESPIR",5,20
"849","RESPIR",16,50
"850","RESPIR",99,126
"851","RESPIR",1,66
"852","RESPIR",11,17
"853","RESPIR",103,20
"854","RESPIR",7,8
"855","RESPIR",4,27
"856","RESPIR",3,33
"857","RESPIR",100,65
"858","RESPIR",8,9
"859","RESPIR",102,27
"860","RESPIR",101,39
"861","RESPIR",2,28
"862","RESPIR",104,13
"863","RESPIR",999,15
"864","RESPIR",106,4
"865","RESPIR",10,13
"866","RESPIR",105,3
"867","URINARY",77,8802
"868","URINARY",53,4249
"869","URINARY",91,1674
"870","URINARY",71,9155
"871","URINARY",54,4530
"872","URINARY",66,8522
"873","URINARY",93,1056
"874","URINARY",80,7739
"875","URINARY",69,9084
"876","URINARY",64,7859
"877","URINARY",78,8581
"878","URINARY",72,9186
"879","URINARY",86,4430
"880","URINARY",90,2136
"881","URINARY",56,5302
"882","URINARY",50,3289
"883","URINARY",57,5669
"884","URINARY",67,8695
"885","URINARY",58,6000
"886","URINARY",62,7271
"887","URINARY",82,6826
"888","URINARY",51,3548
"889","URINARY",70,9253
"890","URINARY",83,6220
"891","URINARY",87,3732
"892","URINARY",68,8975
"893","URINARY",46,2238
"894","URINARY",73,9258
"895","URINARY",81,7438
"896","URINARY",84,5679
"897","URINARY",75,9230
"898","URINARY",61,7195
"899","URINARY",102,26
"900","URINARY",65,8498
"901","URINARY",76,9111
"902","URINARY",88,3286
"903","URINARY",79,8149
"904","URINARY",85,4957
"905","URINARY",74,9182
"906","URINARY",89,2626
"907","URINARY",98,182
"908","URINARY",96,378
"909","URINARY",95,509
"910","URINARY",60,6791
"911","URINARY",63,7526
"912","URINARY",92,1394
"913","URINARY",47,2433
"914","URINARY",99,125
"915","URINARY",44,1764
"916","URINARY",59,6310
"917","URINARY",48,2662
"918","URINARY",55,4936
"919","URINARY",27,170
"920","URINARY",52,3953
"921","URINARY",41,1218
"922","URINARY",49,2991
"923","URINARY",94,755
"924","URINARY",45,1968
"925","URINARY",29,252
"926","URINARY",6,102
"927","URINARY",31,345
"928","URINARY",42,1385
"929","URINARY",32,374
"930","URINARY",39,934
"931","URINARY",38,829
"932","URINARY",36,668
"933","URINARY",40,1162
"934","URINARY",43,1584
"935","URINARY",17,51
"936","URINARY",23,94
"937","URINARY",37,701
"938","URINARY",2,301
"939","URINARY",0,295
"940","URINARY",5,163
"941","URINARY",35,595
"942","URINARY",3,273
"943","URINARY",26,167
"944","URINARY",1,315
"945","URINARY",28,228
"946","URINARY",4,207
"947","URINARY",97,238
"948","URINARY",11,28
"949","URINARY",21,87
"950","URINARY",34,465
"951","URINARY",33,414
"952","URINARY",14,22
"953","URINARY",7,76
"954","URINARY",24,120
"955","URINARY",13,21
"956","URINARY",25,153
"957","URINARY",20,71
"958","URINARY",30,268
"959","URINARY",22,90
"960","URINARY",16,33
"961","URINARY",8,51
